datetime,pm25_predicted,station_code
2017-01-01 00:00:00,507.62433,8
2017-01-01 01:00:00,497.8054,8
2017-01-01 02:00:00,489.21417,8
2017-01-01 03:00:00,472.8938,8
2017-01-01 04:00:00,472.73386,8
2017-01-01 05:00:00,469.96088,8
2017-01-01 06:00:00,469.96088,8
2017-01-01 07:00:00,475.01236,8
2017-01-01 08:00:00,477.3496,8
2017-01-01 09:00:00,507.94553,8
2017-01-01 10:00:00,517.7851,8
2017-01-01 11:00:00,523.9012,8
2017-01-01 12:00:00,524.4494,8
2017-01-01 13:00:00,525.4001,8
2017-01-01 14:00:00,527.03564,8
2017-01-01 15:00:00,526.2255,8
2017-01-01 16:00:00,503.25378,8
2017-01-01 17:00:00,502.10245,8
2017-01-01 18:00:00,497.81738,8
2017-01-01 19:00:00,497.81738,8
2017-01-01 20:00:00,498.89377,8
2017-01-01 21:00:00,493.24677,8
2017-01-01 22:00:00,487.6991,8
2017-01-01 23:00:00,484.99094,8
