datetime,pm25_predicted,station_code
2017-01-01 00:00:00,206.823,1
2017-01-01 01:00:00,206.80644,1
2017-01-01 02:00:00,203.82523,1
2017-01-01 03:00:00,194.8258,1
2017-01-01 04:00:00,187.4395,1
2017-01-01 05:00:00,179.57126,1
2017-01-01 06:00:00,171.83548,1
2017-01-01 07:00:00,164.89052,1
2017-01-01 08:00:00,159.14404,1
2017-01-01 09:00:00,159.63455,1
2017-01-01 10:00:00,162.09006,1
2017-01-01 11:00:00,167.78326,1
2017-01-01 12:00:00,173.69049,1
2017-01-01 13:00:00,180.41327,1
2017-01-01 14:00:00,188.70973,1
2017-01-01 15:00:00,197.0268,1
2017-01-01 16:00:00,205.32343,1
2017-01-01 17:00:00,211.84805,1
2017-01-01 18:00:00,220.23773,1
2017-01-01 19:00:00,232.45567,1
2017-01-01 20:00:00,241.37204,1
2017-01-01 21:00:00,250.20195,1
2017-01-01 22:00:00,250.74933,1
2017-01-01 23:00:00,246.01175,1
