datetime,pm25_predicted,station_code
2017-01-01 00:00:00,498.72464,9
2017-01-01 01:00:00,498.2357,9
2017-01-01 02:00:00,494.92838,9
2017-01-01 03:00:00,477.68018,9
2017-01-01 04:00:00,476.526,9
2017-01-01 05:00:00,473.6781,9
2017-01-01 06:00:00,473.6781,9
2017-01-01 07:00:00,478.44275,9
2017-01-01 08:00:00,480.64703,9
2017-01-01 09:00:00,511.30927,9
2017-01-01 10:00:00,521.14886,9
2017-01-01 11:00:00,527.26495,9
2017-01-01 12:00:00,527.8132,9
2017-01-01 13:00:00,528.76385,9
2017-01-01 14:00:00,530.3994,9
2017-01-01 15:00:00,529.5893,9
2017-01-01 16:00:00,506.61752,9
2017-01-01 17:00:00,505.4662,9
2017-01-01 18:00:00,501.18106,9
2017-01-01 19:00:00,501.18106,9
2017-01-01 20:00:00,502.33237,9
2017-01-01 21:00:00,497.9394,9
2017-01-01 22:00:00,492.48547,9
2017-01-01 23:00:00,489.7773,9
