datetime,pm25_predicted,station_code
2017-01-01 00:00:00,502.25696,3
2017-01-01 01:00:00,487.703,3
2017-01-01 02:00:00,484.3957,3
2017-01-01 03:00:00,477.34467,3
2017-01-01 04:00:00,477.03583,3
2017-01-01 05:00:00,474.77847,3
2017-01-01 06:00:00,474.77847,3
2017-01-01 07:00:00,479.54312,3
2017-01-01 08:00:00,481.15686,3
2017-01-01 09:00:00,511.8191,3
2017-01-01 10:00:00,521.65875,3
2017-01-01 11:00:00,527.77484,3
2017-01-01 12:00:00,528.32306,3
2017-01-01 13:00:00,528.43335,3
2017-01-01 14:00:00,530.0689,3
2017-01-01 15:00:00,529.2588,3
2017-01-01 16:00:00,506.28696,3
2017-01-01 17:00:00,505.13562,3
2017-01-01 18:00:00,500.8505,3
2017-01-01 19:00:00,500.8505,3
2017-01-01 20:00:00,502.0018,3
2017-01-01 21:00:00,496.7635,3
2017-01-01 22:00:00,491.30957,3
2017-01-01 23:00:00,488.6014,3
