datetime,pm25_predicted,station_code
2017-01-01 00:00:00,460.72675,7
2017-01-01 01:00:00,445.13156,7
2017-01-01 02:00:00,438.97772,7
2017-01-01 03:00:00,437.91428,7
2017-01-01 04:00:00,434.93372,7
2017-01-01 05:00:00,434.59393,7
2017-01-01 06:00:00,434.59393,7
2017-01-01 07:00:00,437.11865,7
2017-01-01 08:00:00,438.34116,7
2017-01-01 09:00:00,445.3121,7
2017-01-01 10:00:00,447.81348,7
2017-01-01 11:00:00,457.12885,7
2017-01-01 12:00:00,458.02127,7
2017-01-01 13:00:00,459.2798,7
2017-01-01 14:00:00,459.25116,7
2017-01-01 15:00:00,458.76047,7
2017-01-01 16:00:00,458.3554,7
2017-01-01 17:00:00,458.94785,7
2017-01-01 18:00:00,458.94785,7
2017-01-01 19:00:00,459.0677,7
2017-01-01 20:00:00,458.47525,7
2017-01-01 21:00:00,455.41782,7
2017-01-01 22:00:00,453.11884,7
2017-01-01 23:00:00,451.00656,7
