datetime,pm25_predicted,station_code
2017-01-01 00:00:00,449.3043,0
2017-01-01 01:00:00,450.14517,0
2017-01-01 02:00:00,444.10583,0
2017-01-01 03:00:00,436.6987,0
2017-01-01 04:00:00,434.73846,0
2017-01-01 05:00:00,434.39868,0
2017-01-01 06:00:00,434.39868,0
2017-01-01 07:00:00,436.9234,0
2017-01-01 08:00:00,438.1459,0
2017-01-01 09:00:00,445.11685,0
2017-01-01 10:00:00,447.61823,0
2017-01-01 11:00:00,456.9336,0
2017-01-01 12:00:00,457.82602,0
2017-01-01 13:00:00,459.08453,0
2017-01-01 14:00:00,459.0559,0
2017-01-01 15:00:00,458.56522,0
2017-01-01 16:00:00,458.16016,0
2017-01-01 17:00:00,458.7526,0
2017-01-01 18:00:00,458.7526,0
2017-01-01 19:00:00,458.31268,0
2017-01-01 20:00:00,458.14166,0
2017-01-01 21:00:00,454.31467,0
2017-01-01 22:00:00,452.15402,0
2017-01-01 23:00:00,449.62033,0
