silhouette,cluster
0.08146464068343559,6
0.2182441250016689,1
0.23575485483860936,2
0.19830152812230764,4
0.21843071054743388,6
0.17933909134140968,3
0.13935500973620019,7
0.1911292530763879,4
0.23592963727401367,1
0.043680407596819924,3
-0.00025417247258963956,6
0.11472115203967986,4
0.2159584482568669,4
0.10939490870044317,7
0.16204125797135288,2
0.2901667952887708,6
0.14093690819111535,4
0.27102805517817097,2
0.22622660543901674,7
0.23541014035408683,2
0.11518122549968196,5
0.25796549259108753,6
0.10739475948663621,3
0.08808594449988094,3
0.21794279713443052,1
0.16326568797493637,2
0.14337791949206122,5
-0.022855205488509864,6
0.1408422492803812,4
0.19541336313028604,7
0.16355737153111854,4
0.03362773783664678,1
0.16280286001512292,6
0.08718027815821566,6
0.11878742234769188,5
0.26214174902802406,2
0.2656923815892037,1
0.2437943974641976,3
0.1607893603831272,6
0.23652974046563666,2
0.1778716785338707,7
0.055194287612424814,3
-0.017115389811867308,7
0.26609246888600213,4
-0.015162620569976705,7
0.08953139956078043,6
0.06433020405918488,4
0.022125616631102976,3
0.1404309918092504,6
0.19289082003881047,6
0.18150463623648994,1
0.18741628760669943,1
0.08484481702827712,5
-0.010099683674774415,7
0.2984467967546535,2
0.2478413175902415,4
0.03900528336374985,5
0.09525323785297722,2
0.20258341069033717,7
0.04926023373771939,3
-0.002724961932533526,5
0.058927808402978836,1
0.09637627279123108,6
0.13208597854108067,0
0.24912000880860555,4
0.17108918123705283,3
0.21462590277180435,4
0.16107068737406482,1
0.08419481891501815,5
0.021997764989609415,6
0.2431582379931085,2
0.18070085088315765,1
-0.003715907416181655,7
0.2215025202733506,1
0.15415238493641237,3
0.26824940512709927,7
0.29421944715852527,4
0.01818677876651328,5
0.04672173600928798,1
0.16654448007710831,2
0.2715087637189869,2
0.14138347361511702,4
0.19477935064285481,1
0.22101232920582664,7
0.21192302462928234,3
0.19618187239639157,7
0.1743524911131346,3
0.10128669733733774,1
0.2616082045431531,2
0.11240861246223387,5
0.1774063014786888,6
0.02461141806873707,5
0.2134878910481548,7
0.09566444656294981,3
0.2672553092073695,1
0.1614678985517859,2
0.15618997156876938,1
0.0709234236148283,4
0.11475089219961315,4
0.0798619721766238,6
0.11036490726476696,6
0.060390968672223995,2
0.02473014360363285,7
0.23803819419525182,1
0.004056204838010663,7
0.0915663240155868,0
0.23991583940142758,2
0.17723966967052496,2
0.11264005894171836,1
0.1434973931347409,7
0.18913357191829933,4
0.1793190029407351,5
0.06092244352933142,2
0.24988233275481883,4
0.23281572501126502,3
-0.04238485624174661,7
0.2871207071868202,2
0.10079378758032445,2
0.24491662223157776,2
0.24388592637097253,4
0.06378472482348146,1
0.1921817475096388,2
0.07429608138273495,2
0.16769671544059878,3
0.19070228490623745,4
0.18842314786930792,7
0.2522541576795933,2
0.22209008871955999,0
0.2281581566405885,2
0.13564831600486993,5
0.07794205398106854,7
0.10164525529746087,4
0.09690489147723493,0
0.16581700311472666,3
0.13728825772115702,2
0.10825559696086848,5
0.1760680754278573,4
0.07380817132320955,1
0.045675395484801234,2
0.1071085237042218,5
0.19525335898337334,2
0.0067134048330968685,5
0.12422946643917748,5
