silhouette,cluster
0.26957976949535634,2
0.2656394928452044,6
0.17931531533337067,3
0.17299249603062172,7
0.04281540179420133,2
0.29130726168904375,5
0.002673745446514811,2
0.05902353911367384,1
0.16746884773848786,5
0.28348609040451406,5
-0.020117512251103545,2
0.3268498123033632,7
0.2389523791284741,7
0.17273452112630536,0
0.12008219802816886,1
0.08732631286239724,7
-0.01853885242794719,1
0.40815359042156396,3
0.08594227482350487,5
0.1656454072143736,3
0.2406540785433849,0
0.06405925911923895,7
0.13000457082351174,1
0.08999719840682176,5
-0.01146646083473738,6
-0.04143951594698803,7
0.04484096262610664,1
0.09941554626064744,2
0.2948180882552859,7
-0.04008656126749518,0
0.08784694174831645,7
0.31313407784430264,5
0.09109690822680833,2
0.010531607996829702,6
0.1008782090083356,5
0.314060025606303,3
-0.012609856412113117,6
0.19071051547852266,5
0.17514650679844718,2
0.20892129942136586,3
0.2409903332211921,0
0.03349177447361468,5
0.1773362397091124,2
0.1415671099818413,3
0.1313262963803121,2
0.1808802011379672,2
0.15143001577220266,7
0.24640056660128917,1
0.17089731926139015,7
0.188176112826799,2
0.2712259491746417,6
0.04062075064251568,6
0.3483531809269464,5
0.14152034878088401,5
0.43112465822200075,3
0.16674001391620277,7
0.18666057555094515,1
0.0026634371835779977,2
0.04921545099721237,2
0.09347897692441065,5
0.05492421251398105,5
0.3747039816227323,5
0.1254176918714534,2
0.2786107610903259,3
0.109597681751206,7
0.035867629040514735,5
0.05485963773939683,7
0.33669653353018364,5
0.19058149305705016,5
0.18214588659877373,2
0.22434099091473592,3
0.21371045578438494,5
0.2663555331173885,2
0.2937386841806979,5
0.25424249930938503,1
-0.011176061710721788,2
0.14801892181090304,7
0.1056475867536266,1
0.18460631570060582,6
0.15358119300068687,3
0.25874128786071937,3
0.0941315233642862,7
0.06255877584655797,5
0.2612099469769143,5
0.18846931603462277,5
0.2436136291000244,0
0.31363040336994186,6
0.27716392604838935,5
0.33229931491863307,3
0.22859173568893393,1
0.12515072098792376,7
0.3165238870494009,1
0.2106534597053056,0
0.39100152440539204,5
0.18204290182486438,6
0.2067540622316468,3
0.021185815583161346,5
0.027399016835977726,2
0.24128520752521698,3
0.24740387919027396,2
0.12845998828652125,6
0.07016810366185346,2
0.20391110852362856,2
